"","provincia","sexo","idade_gt7","variable","value","count","percent"
"304","SOFALA","MASCULINO",0,"dif_trabalho","ALGUMA",3,"10.3"
"305","SOFALA","MASCULINO",0,"dif_trabalho","NENHUMA",19,"65.5"
"306","SOFALA","MASCULINO",0,"dif_trabalho","PEQUENA",7,"24.1"
"307","SOFALA","MASCULINO",0,"dif_emocional","ALGUMA",1,"3.4"
"308","SOFALA","MASCULINO",0,"dif_emocional","MUITA",2,"6.9"
"309","SOFALA","MASCULINO",0,"dif_emocional","NENHUMA",10,"34.5"
"310","SOFALA","MASCULINO",0,"dif_emocional","PEQUENA",16,"55.2"
"311","SOFALA","MASCULINO",1,"dif_fica_pe","ALGUMA",15,"7.5"
"312","SOFALA","MASCULINO",1,"dif_fica_pe","GRAVE OU NAO PODE FAZER",2,"1"
"313","SOFALA","MASCULINO",1,"dif_fica_pe","MUITA",14,"7"
"314","SOFALA","MASCULINO",1,"dif_fica_pe","NENHUMA",139,"69.8"
"315","SOFALA","MASCULINO",1,"dif_fica_pe","PEQUENA",29,"14.6"
"316","SOFALA","MASCULINO",1,"dif_casa","ALGUMA",13,"6.5"
"317","SOFALA","MASCULINO",1,"dif_casa","GRAVE OU NAO PODE FAZER",1,"0.5"
"318","SOFALA","MASCULINO",1,"dif_casa","MUITA",6,"3"
"319","SOFALA","MASCULINO",1,"dif_casa","NENHUMA",152,"76.4"
"320","SOFALA","MASCULINO",1,"dif_casa","PEQUENA",27,"13.6"
"321","SOFALA","MASCULINO",1,"dif_tarefa_nova","ALGUMA",10,"5"
"322","SOFALA","MASCULINO",1,"dif_tarefa_nova","MUITA",7,"3.5"
"323","SOFALA","MASCULINO",1,"dif_tarefa_nova","NENHUMA",161,"80.9"
"324","SOFALA","MASCULINO",1,"dif_tarefa_nova","PEQUENA",21,"10.6"
"325","SOFALA","MASCULINO",1,"dif_comunidade","ALGUMA",7,"3.5"
"326","SOFALA","MASCULINO",1,"dif_comunidade","GRAVE OU NAO PODE FAZER",1,"0.5"
"327","SOFALA","MASCULINO",1,"dif_comunidade","MUITA",3,"1.5"
"328","SOFALA","MASCULINO",1,"dif_comunidade","NENHUMA",153,"76.9"
"329","SOFALA","MASCULINO",1,"dif_comunidade","PEQUENA",35,"17.6"
"330","SOFALA","MASCULINO",1,"dif_concentrar","ALGUMA",14,"7"
