"Unidade_Sanitaria","Mes","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"HD Gondola","Jul","Positivos","LR","NEP_FISICO",2218,3323,1.49819657348963,1.41937786914515,1.58162306353091,"low",-0.49819657348963
"HD Gondola","Jun","Positivos","LR","NEP_FISICO",3047,3964,1.3009517558254,1.24063239072339,1.36430438752066,"low",-0.300951755825402
"HD Gondola","Mar","Positivos","LR","NEP_FISICO",1601,2893,1.80699562773267,1.69938171684333,1.92194831136214,"low",-0.806995627732667
"HD Gondola","May","Positivos","LR","NEP_FISICO",4313,4309,0.999072571296082,0.957551273955959,1.04239409611883,"high",0.000927428703918386
"HD Manica","Apr","Positivos","LR","NEP_FISICO",3398,5740,1.68922895821071,1.61877917464499,1.76294971609492,"low",-0.689228958210712
"HD Manica","Jul","Positivos","LR","NEP_FISICO",938,2722,2.90191897654584,2.69336417925609,3.12877374515952,"low",-1.90191897654584
"HD Manica","Mar","Positivos","LR","NEP_FISICO",1843,5910,3.2067281606077,3.04282239103997,3.38069132075317,"low",-2.2067281606077
"HD Manica","May","Positivos","LR","NEP_FISICO",2314,4470,1.93171996542783,1.83673433805356,2.0320294768229,"low",-0.931719965427831
"HR Nhamatanda","Apr","Positivos","LR","NEP_FISICO",1051,1092,1.03901046622265,0.953760065578452,1.13192085660153,"high",-0.0390104662226451
"HR Nhamatanda","Jul","Positivos","LR","NEP_FISICO",1048,954,0.91030534351145,0.832991591326606,0.994702252469669,"high",0.0896946564885496
"HR Nhamatanda","Jun","Positivos","LR","NEP_FISICO",1137,1428,1.25593667546174,1.16099327348995,1.35888447933064,"medium",-0.255936675461741
"HR Nhamatanda","May","Positivos","LR","NEP_FISICO",1357,1498,1.1039056742815,1.02504043786106,1.18891983150447,"high",-0.103905674281503
"CS Cheadeia","Apr","Tratados_ACTs","LR","NEP_FISICO",51,47,0.92156862745098,0.606609883438427,1.39738320738265,"high",0.0784313725490196
"CS Cheadeia","Feb","Tratados_ACTs","LR","NEP_FISICO",55,60,1.09090909090909,0.743928337391291,1.60246989119924,"high",-0.0909090909090909
"CS Cheadeia","Jul","Tratados_ACTs","LR","NEP_FISICO",44,52,1.18181818181818,0.775768063171561,1.80764533102139,"high",-0.181818181818182
"CS Cheadeia","Jun","Tratados_ACTs","LR","NEP_FISICO",60,60,1,0.687391397473787,1.45477526148141,"high",0
"CS Cheadeia","Mar","Tratados_ACTs","LR","NEP_FISICO",57,58,1.01754385964912,0.693675545048935,1.4931325792756,"high",-0.0175438596491228
"CS Cheadeia","May","Tratados_ACTs","LR","NEP_FISICO",59,65,1.10169491525424,0.762464787241217,1.59465378625375,"high",-0.101694915254237
"CS Dondo","Apr","Tratados_ACTs","LR","NEP_FISICO",664,3105,4.67620481927711,4.29888639693395,5.09260085983141,"low",-3.67620481927711
"CS Dondo","Feb","Tratados_ACTs","LR","NEP_FISICO",507,4,0.00788954635108481,0.00214138384113806,0.0203250057114213,"low",0.992110453648915
"CS Dondo","Jul","Tratados_ACTs","LR","NEP_FISICO",521,1181,2.26679462571977,2.04302577566598,2.51776818515253,"low",-1.26679462571977
"CS Dondo","Jun","Tratados_ACTs","LR","NEP_FISICO",396,1695,4.28030303030303,3.8344926269132,4.78721748701655,"low",-3.28030303030303
"CS Dondo","Mar","Tratados_ACTs","LR","NEP_FISICO",356,1308,3.67415730337079,3.26543930445573,4.14254147161948,"low",-2.67415730337079
"CS Dondo","May","Tratados_ACTs","LR","NEP_FISICO",569,1710,3.00527240773286,2.73169001719027,3.3101128404094,"low",-2.00527240773286
"CS Inchope","Apr","Tratados_ACTs","LR","NEP_FISICO",978,720,0.736196319018405,0.667713005517324,0.811407607177365,"medium",0.263803680981595
"CS Inchope","Feb","Tratados_ACTs","LR","NEP_FISICO",744,569,0.764784946236559,0.684491566224319,0.854143257570466,"medium",0.235215053763441
"CS Inchope","Jul","Tratados_ACTs","LR","NEP_FISICO",563,601,1.06749555950266,0.94998121344158,1.19968198623469,"high",-0.0674955595026643
"CS Inchope","Jun","Tratados_ACTs","LR","NEP_FISICO",983,803,0.816887080366226,0.74324243371184,0.897625412941961,"medium",0.183112919633774
"CS Inchope","Mar","Tratados_ACTs","LR","NEP_FISICO",770,582,0.755844155844156,0.677531649870019,0.842854400863931,"medium",0.244155844155844
"CS Inchope","May","Tratados_ACTs","LR","NEP_FISICO",977,993,1.01637666325486,0.929520149348718,1.11136742042888,"high",-0.0163766632548618
"CS Mafambisse","Apr","Tratados_ACTs","LR","NEP_FISICO",793,1057,1.33291298865069,1.21450514616944,1.4633226548129,"low",-0.332912988650694
"CS Mafambisse","Feb","Tratados_ACTs","LR","NEP_FISICO",926,1000,1.07991360691145,0.986581533949128,1.18216873036719,"high",-0.0799136069114471
"CS Mafambisse","Jul","Tratados_ACTs","LR","NEP_FISICO",815,1048,1.28588957055215,1.17228509471793,1.41088540469231,"medium",-0.285889570552147
"CS Mafambisse","Jun","Tratados_ACTs","LR","NEP_FISICO",846,1445,1.7080378250591,1.56799802858764,1.86148713809057,"low",-0.708037825059102
"CS Mafambisse","Mar","Tratados_ACTs","LR","NEP_FISICO",488,647,1.32581967213115,1.17699608883865,1.49421777393506,"medium",-0.325819672131148
"CS Mafambisse","May","Tratados_ACTs","LR","NEP_FISICO",1113,386,0.34681042228212,0.308093542766,0.38972930686335,"low",0.65318957771788
"CS Mascarenhas","Apr","Tratados_ACTs","LR","NEP_FISICO",41,279,6.80487804878049,4.89001318839853,9.6910257077805,"low",-5.80487804878049
"CS Mascarenhas","Feb","Tratados_ACTs","LR","NEP_FISICO",69,199,2.88405797101449,2.18284282513517,3.84984425304153,"low",-1.88405797101449
"CS Mascarenhas","Jul","Tratados_ACTs","LR","NEP_FISICO",142,338,2.38028169014085,1.95093079172847,2.91654382213734,"low",-1.38028169014085
"CS Mascarenhas","Jun","Tratados_ACTs","LR","NEP_FISICO",284,458,1.61267605633803,1.38773778589444,1.87663642154028,"low",-0.612676056338028
"CS Mascarenhas","Mar","Tratados_ACTs","LR","NEP_FISICO",141,258,1.82978723404255,1.48451434145126,2.2629929177601,"low",-0.829787234042553
"CS Mascarenhas","May","Tratados_ACTs","LR","NEP_FISICO",166,238,1.43373493975904,1.17102517214287,1.75873183772169,"medium",-0.433734939759036
"CS Messica","Apr","Tratados_ACTs","LR","NEP_FISICO",3583,2463,0.687412782584427,0.652772674406789,0.723801739153755,"low",0.312587217415574
"CS Messica","Jul","Tratados_ACTs","LR","NEP_FISICO",337,1283,3.80712166172107,3.37408353455083,4.30521325333657,"low",-2.80712166172107
"CS Messica","Mar","Tratados_ACTs","LR","NEP_FISICO",2198,2272,1.0336669699727,0.97436693171007,1.09659187979324,"high",-0.0336669699727025
"CS Messica","May","Tratados_ACTs","LR","NEP_FISICO",949,2382,2.5100105374078,2.32710153469954,2.708986714762,"low",-1.5100105374078
"CS Muanza Baixo","Apr","Tratados_ACTs","LR","NEP_FISICO",183,186,1.01639344262295,0.824286819870794,1.25338795295666,"high",-0.0163934426229508
"CS Muanza Baixo","Jul","Tratados_ACTs","LR","NEP_FISICO",104,109,1.04807692307692,0.793744262451901,1.38456360175593,"high",-0.0480769230769231
"CS Muanza Baixo","Jun","Tratados_ACTs","LR","NEP_FISICO",180,195,1.08333333333333,0.880105754582286,1.33408638487504,"high",-0.0833333333333333
"CS Muanza Baixo","Mar","Tratados_ACTs","LR","NEP_FISICO",20,70,3.5,2.10436747806192,6.07529322390652,"low",-2.5
"CS Muanza Sede","Apr","Tratados_ACTs","LR","NEP_FISICO",296,380,1.28378378378378,1.09990593617636,1.49954694584718,"high",-0.283783783783784
"CS Muanza Sede","Jul","Tratados_ACTs","LR","NEP_FISICO",47,186,3.95744680851064,2.86020877022412,5.57285924232836,"low",-2.95744680851064
"CS Muanza Sede","Jun","Tratados_ACTs","LR","NEP_FISICO",295,453,1.53559322033898,1.3232204041394,1.78420267026549,"low",-0.535593220338983
"CS Muanza Sede","Mar","Tratados_ACTs","LR","NEP_FISICO",308,296,0.961038961038961,0.816543253265259,1.13095178226861,"high",0.038961038961039
"CS Muanza Sede","May","Tratados_ACTs","LR","NEP_FISICO",222,612,2.75675675675676,2.36050937794089,3.22899716610981,"low",-1.75675675675676
