"province","Mes","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"Manica","Mar","Tratados_ACTs","LR","FB",5438,2510,0.46156675248253,0.440070694938882,0.484012017376869,"low",0.53843324751747
"Manica","May","Tratados_ACTs","LR","FB",4385,14,0.0031927023945268,0.00174401992339468,0.00536260836200681,"low",0.996807297605473
"Sofala","Apr","Tratados_ACTs","LR","FB",2502,2565,1.02517985611511,0.969867866414696,1.08365668151761,"high",-0.0251798561151079
"Sofala","Feb","Tratados_ACTs","LR","FB",1333,2105,1.57914478619655,1.47373293600841,1.69255341491609,"low",-0.579144786196549
"Sofala","Jul","Tratados_ACTs","LR","FB",1450,1452,1.00137931034483,0.930457849090719,1.07770756198236,"high",-0.00137931034482759
"Sofala","Jun","Tratados_ACTs","LR","FB",2219,1611,0.726002703920685,0.680467363690338,0.774456172110886,"low",0.273997296079315
"Sofala","Mar","Tratados_ACTs","LR","FB",1024,1297,1.2666015625,1.16605705792823,1.3760950967031,"medium",-0.2666015625
"Sofala","May","Tratados_ACTs","LR","FB",2649,3140,1.18535296338241,1.12526016511527,1.24872664587988,"medium",-0.185352963382408
"Manica","Apr","Testados","LR","RMUS",24007,28231,1.17594868163452,1.15584590744124,1.19640821517927,"medium",-0.175948681634523
"Manica","Feb","Testados","LR","RMUS",15803,17090,1.08144023286718,1.05823763376626,1.10515661027043,"high",-0.0814402328671771
"Manica","Jul","Testados","LR","RMUS",7402,11623,1.57025128343691,1.5250126723429,1.61690816279231,"low",-0.570251283436909
"Manica","Jun","Testados","LR","RMUS",13939,14048,1.00781978621135,0.984409258765411,1.03178759704654,"high",-0.00781978621134945
"Manica","Mar","Testados","LR","RMUS",13730,16218,1.18120903131828,1.15459154465322,1.20845308903061,"medium",-0.181209031318281
"Manica","May","Testados","LR","RMUS",16458,20235,1.22949325555961,1.2043973336881,1.25512572793256,"low",-0.229493255559606
"Sofala","Apr","Testados","LR","RMUS",9087,14990,1.64960933201277,1.6070705891823,1.69334452404397,"low",-0.649609332012765
"Sofala","Feb","Testados","LR","RMUS",6615,12297,1.85895691609977,1.8040747175753,1.9156374322612,"low",-0.858956916099773
"Sofala","Jul","Testados","LR","RMUS",7945,9354,1.17734424166142,1.14253672841411,1.21323429990048,"medium",-0.177344241661422
"Sofala","Jun","Testados","LR","RMUS",7130,11233,1.57545582047686,1.52924940229807,1.62313835949402,"low",-0.575455820476858
"Sofala","Mar","Testados","LR","RMUS",6511,12613,1.93718322838274,1.87994965197634,1.99630194113457,"low",-0.937183228382737
"Sofala","May","Testados","LR","RMUS",12098,18760,1.55066953215408,1.5155509089556,1.58664657428535,"low",-0.550669532154075
"Manica","Apr","Positivos","LR","RMUS",13317,17798,1.3364871968161,1.3067347066542,1.36694187633969,"low",-0.3364871968161
"Manica","Feb","Positivos","LR","RMUS",10078,11577,1.14873982933122,1.11837521294959,1.17994342578387,"medium",-0.148739829331217
"Manica","Jul","Positivos","LR","RMUS",3021,4302,1.4240317775571,1.35897835029212,1.49234200712724,"low",-0.4240317775571
"Manica","Jun","Positivos","LR","RMUS",7655,6455,0.84323971260614,0.815642853958952,0.871749894268557,"medium",0.15676028739386
"Manica","Mar","Positivos","LR","RMUS",6940,9762,1.40662824207493,1.36385905588946,1.45079679185939,"low",-0.406628242074928
"Manica","May","Positivos","LR","RMUS",8176,11048,1.35127201565558,1.31306261151948,1.39063580279276,"low",-0.351272015655577
"Sofala","Apr","Positivos","LR","RMUS",2793,5564,1.9921231650555,1.90325786050349,2.08549832884749,"low",-0.992123165055496
"Sofala","Feb","Positivos","LR","RMUS",1719,3319,1.93077370564282,1.82097738951298,2.04775078652924,"low",-0.930773705642816
"Sofala","Jul","Positivos","LR","RMUS",2528,2904,1.14873417721519,1.08871800439734,1.2121192281407,"high",-0.14873417721519
"Sofala","Jun","Positivos","LR","RMUS",3192,5169,1.61936090225564,1.54916357176521,1.69293568315786,"low",-0.619360902255639
"Sofala","Mar","Positivos","LR","RMUS",1093,2439,2.23147301006404,2.0769582380787,2.39867288576844,"low",-1.23147301006404
