"Unidade_Sanitaria","indicator","instrument1","instrument2","num1","num2","rate_ratio","lo","hi","data_quality","concordance_oldversion"
"CS Mascarenhas","Testados","LR","SIS_MA",2880,5822,2.02152777777778,1.93291327632172,2.11456448225962,"low",-1.02152777777778
"CS Messica","Testados","LR","SIS_MA",18168,18045,0.993229854689564,0.972925544296541,1.01395753833256,"high",0.00677014531043593
"CS Muanza Baixo","Testados","LR","SIS_MA",984,1092,1.10975609756098,1.01721767947634,1.21083343471677,"high",-0.109756097560976
"CS Muanza Sede","Testados","LR","SIS_MA",3615,4820,1.33333333333333,1.27679079693545,1.39247313219544,"low",-0.333333333333333
"CS Munhava","Testados","LR","SIS_MA",17971,25300,1.40782371598687,1.38110596323078,1.43508045995234,"low",-0.407823715986868
"CS Vila Nova","Testados","LR","SIS_MA",18137,23489,1.29508739041738,1.27018361646802,1.32049531164908,"low",-0.295087390417379
"Eduardo Mondlane","Testados","LR","SIS_MA",17090,19757,1.1560561732007,1.13256937463494,1.18003895585685,"medium",-0.156056173200702
"HD Gondola","Testados","LR","SIS_MA",19554,40564,2.07446046844635,2.03931216993139,2.11026797995219,"low",-1.07446046844635
"HD Manica","Testados","LR","SIS_MA",10047,12821,1.27610231910023,1.24311121414071,1.3099960678872,"low",-0.276102319100229
"HR Nhamatanda","Testados","LR","SIS_MA",5574,6762,1.21313240043057,1.17069679760805,1.25714444775986,"medium",-0.21313240043057
"CS Cheadeia","Positivos","LR","SIS_MA",167,173,1.03592814371257,0.832635989743332,1.28913710033552,"high",-0.0359281437125748
"CS Dondo","Positivos","LR","SIS_MA",2993,9496,3.1727363848981,3.04469192293158,3.30689786673519,"low",-2.1727363848981
"CS Inchope","Positivos","LR","SIS_MA",3823,4274,1.11797018048653,1.06999003748864,1.16813307505656,"high",-0.117970180486529
"CS Mafambisse","Positivos","LR","SIS_MA",4928,6515,1.32203733766234,1.27381632971081,1.3721492725416,"low",-0.322037337662338
"CS Mascarenhas","Positivos","LR","SIS_MA",847,1734,2.04722550177096,1.88464547067799,2.22515824582696,"low",-1.04722550177096
"CS Messica","Positivos","LR","SIS_MA",12634,11196,0.886180148804812,0.863843472468961,0.909085520640118,"high",0.113819851195188
"CS Muanza Baixo","Positivos","LR","SIS_MA",487,505,1.03696098562628,0.913771596623795,1.17684499480938,"high",-0.0369609856262834
"CS Muanza Sede","Positivos","LR","SIS_MA",671,1251,1.86438152011923,1.69611207412862,2.05075285846049,"low",-0.864381520119225
"CS Munhava","Positivos","LR","SIS_MA",2990,3739,1.2505016722408,1.19147353308692,1.31253959192317,"medium",-0.250501672240803
"CS Vila Nova","Positivos","LR","SIS_MA",9422,13661,1.44990447887922,1.41223934669232,1.48862123636988,"low",-0.449904478879219
"Eduardo Mondlane","Positivos","LR","SIS_MA",17596,22395,1.27273243919073,1.24779331082184,1.29818514575017,"low",-0.272732439190725
"HD Gondola","Positivos","LR","SIS_MA",16045,23528,1.46637581801184,1.4371814018703,1.49619166737604,"low",-0.466375818011842
"HD Manica","Positivos","LR","SIS_MA",5712,7780,1.36204481792717,1.31614451712581,1.40960913215662,"low",-0.362044817927171
"HR Nhamatanda","Positivos","LR","SIS_MA",2494,2926,1.17321571772253,1.11181105944077,1.23808309384465,"medium",-0.173215717722534
